,year,month,unc_h,unc_fld,unc_flu,unc_ta,eps
0,2017.0,1.0,-11.2109375,-4.033203125,0.185546875,0.353515625,0.78
1,2017.0,1.0,-8.7890625,-4.033203125,0.185546875,0.353515625,0.774
2,2017.0,1.0,-11.2109375,4.072265625,0.185546875,0.353515625,0.756
3,2017.0,1.0,-11.2109375,-4.033203125,-4.541015625,0.353515625,0.712
4,2017.0,1.0,-11.2109375,-4.033203125,0.185546875,0.798828125,0.75
5,2017.0,1.0,-11.2109375,4.072265625,-4.541015625,0.798828125,0.7
6,2017.0,1.0,-8.7890625,-4.033203125,-4.541015625,0.798828125,0.7
7,2017.0,1.0,-8.7890625,4.072265625,0.185546875,0.798828125,0.716
8,2017.0,1.0,-8.7890625,4.072265625,-4.541015625,0.353515625,0.7
9,2017.0,1.0,-8.7890625,4.072265625,-4.541015625,0.798828125,0.7
10,2017.0,1.0,8.7890625,0.966796875,-4.814453125,-0.646484375,0.716
11,2017.0,1.0,11.2109375,0.966796875,-4.814453125,-0.646484375,0.71
12,2017.0,1.0,8.7890625,-0.927734375,-4.814453125,-0.646484375,0.722
13,2017.0,1.0,8.7890625,0.966796875,0.458984375,-0.646484375,0.8
14,2017.0,1.0,8.7890625,0.966796875,-4.814453125,-0.201171875,0.7
15,2017.0,1.0,8.7890625,-0.927734375,0.458984375,-0.201171875,0.77
16,2017.0,1.0,11.2109375,0.966796875,0.458984375,-0.201171875,0.76
17,2017.0,1.0,11.2109375,-0.927734375,-4.814453125,-0.201171875,0.7
18,2017.0,1.0,11.2109375,-0.927734375,0.458984375,-0.646484375,0.798
19,2017.0,1.0,11.2109375,-0.927734375,0.458984375,-0.201171875,0.766
20,2017.0,1.0,18.7890625,-1.533203125,2.685546875,0.853515625,0.708
21,2017.0,1.0,1.2109375,-1.533203125,2.685546875,0.853515625,0.746
22,2017.0,1.0,18.7890625,-3.427734375,2.685546875,0.853515625,0.714
23,2017.0,1.0,18.7890625,-1.533203125,-2.041015625,0.853515625,0.7
24,2017.0,1.0,18.7890625,-1.533203125,2.685546875,-0.701171875,0.8180000000000001
25,2017.0,1.0,18.7890625,-3.427734375,-2.041015625,-0.701171875,0.754
26,2017.0,1.0,1.2109375,-1.533203125,-2.041015625,-0.701171875,0.79
