,year,month,unc_h,unc_fld,unc_flu,unc_ta,eps,intercept
0,2017.0,1.0,-11.2109375,-4.033203125,0.185546875,0.353515625,0.8859999999999999,46.57744538194346
1,2017.0,1.0,-8.7890625,-4.033203125,0.185546875,0.353515625,0.8859999999999999,48.99932038194349
2,2017.0,1.0,-11.2109375,4.072265625,0.185546875,0.353515625,0.8879999999999999,52.489756141993055
3,2017.0,1.0,-11.2109375,-4.033203125,-4.541015625,0.353515625,0.8879999999999999,73.94558716357027
4,2017.0,1.0,-11.2109375,-4.033203125,0.185546875,0.798828125,0.8859999999999999,60.60676142370271
5,2017.0,1.0,-11.2109375,4.072265625,-4.541015625,0.798828125,0.8919999999999999,94.14143539522112
6,2017.0,1.0,-8.7890625,-4.033203125,-4.541015625,0.798828125,0.8879999999999999,90.19390149702313
7,2017.0,1.0,-8.7890625,4.072265625,0.185546875,0.798828125,0.8879999999999999,68.92893305752463
8,2017.0,1.0,-8.7890625,4.072265625,-4.541015625,0.353515625,0.8919999999999999,82.71429663663721
9,2017.0,1.0,-8.7890625,4.072265625,-4.541015625,0.798828125,0.8919999999999999,96.56331039522115
10,2017.0,1.0,8.7890625,0.966796875,-4.814453125,-0.646484375,0.8919999999999999,68.84301422196869
11,2017.0,1.0,11.2109375,0.966796875,-4.814453125,-0.646484375,0.8919999999999999,71.26488922196869
12,2017.0,1.0,8.7890625,-0.927734375,-4.814453125,-0.646484375,0.8899999999999999,67.05065376339913
13,2017.0,1.0,8.7890625,0.966796875,0.458984375,-0.646484375,0.8879999999999999,37.411220198895705
14,2017.0,1.0,8.7890625,0.966796875,-4.814453125,-0.201171875,0.8919999999999999,82.69512140325115
15,2017.0,1.0,8.7890625,-0.927734375,0.458984375,-0.201171875,0.8859999999999999,49.5668332577151
16,2017.0,1.0,11.2109375,0.966796875,0.458984375,-0.201171875,0.8879999999999999,53.881477184986196
17,2017.0,1.0,11.2109375,-0.927734375,-4.814453125,-0.201171875,0.8899999999999999,83.30147478454451
18,2017.0,1.0,11.2109375,-0.927734375,0.458984375,-0.646484375,0.8859999999999999,37.963424152786004
19,2017.0,1.0,11.2109375,-0.927734375,0.458984375,-0.201171875,0.8859999999999999,51.9887082577151
20,2017.0,1.0,18.7890625,-1.533203125,2.685546875,0.853515625,0.8839999999999999,78.99135885854342
21,2017.0,1.0,1.2109375,-1.533203125,2.685546875,0.853515625,0.8839999999999999,61.41323385854342
22,2017.0,1.0,18.7890625,-3.427734375,2.685546875,0.853515625,0.8839999999999999,77.73511339691346
23,2017.0,1.0,18.7890625,-1.533203125,-2.041015625,0.853515625,0.8879999999999999,107.17388735774801
24,2017.0,1.0,18.7890625,-1.533203125,2.685546875,-0.701171875,0.8839999999999999,29.7428178099467
25,2017.0,1.0,18.7890625,-3.427734375,-2.041015625,-0.701171875,0.8879999999999999,57.29547016071531
26,2017.0,1.0,1.2109375,-1.533203125,-2.041015625,-0.701171875,0.8879999999999999,40.93727551121076
27,2017.0,1.0,1.2109375,-3.427734375,2.685546875,-0.701171875,0.8839999999999999,10.870031300402161
28,2017.0,1.0,1.2109375,-3.427734375,-2.041015625,0.853515625,0.8879999999999999,88.41286484251664
29,2017.0,1.0,1.2109375,-3.427734375,-2.041015625,-0.701171875,0.8879999999999999,39.71734516071531
30,2017.0,1.0,-1.2109375,3.466796875,-2.314453125,-0.146484375,0.8899999999999999,61.22681215285682
31,2017.0,1.0,-18.7890625,3.466796875,-2.314453125,-0.146484375,0.8899999999999999,43.64868715285678
32,2017.0,1.0,-1.2109375,1.572265625,-2.314453125,-0.146484375,0.8899999999999999,60.04691115790227
33,2017.0,1.0,-1.2109375,3.466796875,2.958984375,-0.146484375,0.8859999999999999,29.722446806231332
34,2017.0,1.0,-1.2109375,3.466796875,-2.314453125,0.298828125,0.8899999999999999,75.1564948152125
35,2017.0,1.0,-1.2109375,1.572265625,2.958984375,0.298828125,0.8859999999999999,42.60185601195582
36,2017.0,1.0,-18.7890625,3.466796875,2.958984375,0.298828125,0.8859999999999999,26.269658398540187
37,2017.0,1.0,-18.7890625,1.572265625,-2.314453125,0.298828125,0.8899999999999999,56.408884533328816
38,2017.0,1.0,-18.7890625,1.572265625,2.958984375,-0.146484375,0.8859999999999999,10.887580435886491
39,2017.0,1.0,-18.7890625,1.572265625,2.958984375,0.298828125,0.8859999999999999,25.023731011955775
40,2017.0,1.0,-6.2109375,-0.283203125,-3.564453125,-0.396484375,0.8899999999999999,53.158893037644674
41,2017.0,1.0,-13.7890625,-0.283203125,-3.564453125,-0.396484375,0.8899999999999999,45.58076803764463
42,2017.0,1.0,-6.2109375,2.822265625,-3.564453125,-0.396484375,0.8919999999999999,55.704326801502575
43,2017.0,1.0,-6.2109375,-0.283203125,-0.791015625,-0.396484375,0.8879999999999999,36.69297516724522
44,2017.0,1.0,-6.2109375,-0.283203125,-3.564453125,-0.951171875,0.8899999999999999,35.86001132745601
45,2017.0,1.0,-6.2109375,2.822265625,-0.791015625,-0.951171875,0.8899999999999999,21.85220271236757
46,2017.0,1.0,-13.7890625,-0.283203125,-0.791015625,-0.951171875,0.8879999999999999,11.68515234942619
47,2017.0,1.0,-13.7890625,2.822265625,-3.564453125,-0.951171875,0.8919999999999999,30.80652388301465
48,2017.0,1.0,-13.7890625,2.822265625,-0.791015625,-0.396484375,0.8899999999999999,31.724372068461903
49,2017.0,1.0,-13.7890625,2.822265625,-0.791015625,-0.951171875,0.8899999999999999,14.274077712367543
