,year,month,unc_h,unc_fld,unc_flu,unc_ta,eps,intercept
0,2017.0,1.0,-11.2109375,-4.033203125,0.185546875,0.353515625,0.7799999999999998,0.0
1,2017.0,1.0,-8.7890625,-4.033203125,0.185546875,0.353515625,0.7739999999999998,0.0
2,2017.0,1.0,-11.2109375,4.072265625,0.185546875,0.353515625,0.7559999999999998,0.0
3,2017.0,1.0,-11.2109375,-4.033203125,-4.541015625,0.353515625,0.7119999999999997,0.0
4,2017.0,1.0,-11.2109375,-4.033203125,0.185546875,0.798828125,0.7499999999999998,0.0
5,2017.0,1.0,-11.2109375,4.072265625,-4.541015625,0.798828125,0.6439999999999997,0.0
6,2017.0,1.0,-8.7890625,-4.033203125,-4.541015625,0.798828125,0.6739999999999997,0.0
7,2017.0,1.0,-8.7890625,4.072265625,0.185546875,0.798828125,0.7159999999999997,0.0
8,2017.0,1.0,-8.7890625,4.072265625,-4.541015625,0.353515625,0.6719999999999997,0.0
9,2017.0,1.0,-8.7890625,4.072265625,-4.541015625,0.798828125,0.6379999999999997,0.0
10,2017.0,1.0,8.7890625,0.966796875,-4.814453125,-0.646484375,0.7159999999999997,0.0
11,2017.0,1.0,11.2109375,0.966796875,-4.814453125,-0.646484375,0.7099999999999997,0.0
12,2017.0,1.0,8.7890625,-0.927734375,-4.814453125,-0.646484375,0.7219999999999998,0.0
13,2017.0,1.0,8.7890625,0.966796875,0.458984375,-0.646484375,0.7999999999999998,0.0
14,2017.0,1.0,8.7890625,0.966796875,-4.814453125,-0.201171875,0.6799999999999997,0.0
15,2017.0,1.0,8.7890625,-0.927734375,0.458984375,-0.201171875,0.7699999999999998,0.0
16,2017.0,1.0,11.2109375,0.966796875,0.458984375,-0.201171875,0.7599999999999998,0.0
17,2017.0,1.0,11.2109375,-0.927734375,-4.814453125,-0.201171875,0.6819999999999997,0.0
18,2017.0,1.0,11.2109375,-0.927734375,0.458984375,-0.646484375,0.7979999999999998,0.0
19,2017.0,1.0,11.2109375,-0.927734375,0.458984375,-0.201171875,0.7659999999999998,0.0
20,2017.0,1.0,18.7890625,-1.533203125,2.685546875,0.853515625,0.7079999999999997,0.0
