,year,month,unc_h,unc_fld,unc_flu,unc_ta,eps
60,2017.0,1.0,3.7890625,-2.783203125,-1.064453125,-0.896484375,0.8859999999999999
61,2017.0,1.0,16.2109375,-2.783203125,-1.064453125,-0.896484375,0.8859999999999999
62,2017.0,1.0,3.7890625,-4.677734375,-1.064453125,-0.896484375,0.8859999999999999
63,2017.0,1.0,3.7890625,-2.783203125,-3.291015625,-0.896484375,0.8879999999999999
64,2017.0,1.0,3.7890625,-2.783203125,-1.064453125,0.548828125,0.8859999999999999
65,2017.0,1.0,3.7890625,-4.677734375,-3.291015625,0.548828125,0.8879999999999999
66,2017.0,1.0,16.2109375,-2.783203125,-3.291015625,0.548828125,0.8879999999999999
67,2017.0,1.0,16.2109375,-4.677734375,-1.064453125,0.548828125,0.8859999999999999
68,2017.0,1.0,16.2109375,-4.677734375,-3.291015625,-0.896484375,0.8879999999999999
69,2017.0,1.0,16.2109375,-4.677734375,-3.291015625,0.548828125,0.8879999999999999
70,2017.0,1.0,-16.2109375,2.216796875,3.935546875,0.103515625,0.8839999999999999
71,2017.0,1.0,-3.7890625,2.216796875,3.935546875,0.103515625,0.8839999999999999
72,2017.0,1.0,-16.2109375,0.322265625,3.935546875,0.103515625,0.8839999999999999
73,2017.0,1.0,-16.2109375,2.216796875,1.708984375,0.103515625,0.8859999999999999
74,2017.0,1.0,-16.2109375,2.216796875,3.935546875,-0.451171875,0.8839999999999999
75,2017.0,1.0,-16.2109375,0.322265625,1.708984375,-0.451171875,0.8859999999999999
76,2017.0,1.0,-3.7890625,2.216796875,1.708984375,-0.451171875,0.8859999999999999
77,2017.0,1.0,-3.7890625,0.322265625,3.935546875,-0.451171875,0.8839999999999999
78,2017.0,1.0,-3.7890625,0.322265625,1.708984375,0.103515625,0.8859999999999999
79,2017.0,1.0,-3.7890625,0.322265625,1.708984375,-0.451171875,0.8859999999999999
80,2017.0,1.0,-17.4609375,-3.095703125,-4.501953125,-0.083984375,0.8899999999999999
81,2017.0,1.0,4.9609375,-3.095703125,-4.501953125,-0.083984375,0.8899999999999999
82,2017.0,1.0,-17.4609375,-2.490234375,-4.501953125,-0.083984375,0.8899999999999999
83,2017.0,1.0,-17.4609375,-3.095703125,4.521484375,-0.083984375,0.8819999999999999
84,2017.0,1.0,-17.4609375,-3.095703125,-4.501953125,0.611328125,0.8899999999999999
85,2017.0,1.0,-17.4609375,-2.490234375,4.521484375,0.611328125,0.8819999999999999
86,2017.0,1.0,4.9609375,-3.095703125,4.521484375,0.611328125,0.8819999999999999
87,2017.0,1.0,4.9609375,-2.490234375,-4.501953125,0.611328125,0.8899999999999999
88,2017.0,1.0,4.9609375,-2.490234375,4.521484375,-0.083984375,0.8819999999999999
89,2017.0,1.0,4.9609375,-2.490234375,4.521484375,0.611328125,0.8819999999999999
90,2017.0,1.0,2.5390625,1.904296875,0.498046875,0.916015625,0.8879999999999999
91,2017.0,1.0,-15.0390625,1.904296875,0.498046875,0.916015625,0.8879999999999999
92,2017.0,1.0,2.5390625,2.509765625,0.498046875,0.916015625,0.8879999999999999
93,2017.0,1.0,2.5390625,1.904296875,-0.478515625,0.916015625,0.8879999999999999
94,2017.0,1.0,2.5390625,1.904296875,0.498046875,-0.388671875,0.8879999999999999
95,2017.0,1.0,2.5390625,2.509765625,-0.478515625,-0.388671875,0.8879999999999999
96,2017.0,1.0,-15.0390625,1.904296875,-0.478515625,-0.388671875,0.8879999999999999
97,2017.0,1.0,-15.0390625,2.509765625,0.498046875,-0.388671875,0.8879999999999999
98,2017.0,1.0,-15.0390625,2.509765625,-0.478515625,0.916015625,0.8879999999999999
99,2017.0,1.0,-15.0390625,2.509765625,-0.478515625,-0.388671875,0.8879999999999999
