,year,month,unc_h,unc_fld,unc_flu,unc_ta,eps
0,2017.0,1.0,-11.2109375,-4.033203125,0.185546875,0.353515625,0.8850000000000001
1,2017.0,1.0,-8.7890625,-4.033203125,0.185546875,0.353515625,0.8850000000000001
2,2017.0,1.0,-11.2109375,4.072265625,0.185546875,0.353515625,0.8890000000000001
3,2017.0,1.0,-11.2109375,-4.033203125,-4.541015625,0.353515625,0.8890000000000001
4,2017.0,1.0,-11.2109375,-4.033203125,0.185546875,0.798828125,0.8850000000000001
5,2017.0,1.0,-11.2109375,4.072265625,-4.541015625,0.798828125,0.8930000000000001
6,2017.0,1.0,-8.7890625,-4.033203125,-4.541015625,0.798828125,0.8890000000000001
7,2017.0,1.0,-8.7890625,4.072265625,0.185546875,0.798828125,0.8890000000000001
8,2017.0,1.0,-8.7890625,4.072265625,-4.541015625,0.353515625,0.8930000000000001
9,2017.0,1.0,-8.7890625,4.072265625,-4.541015625,0.798828125,0.8930000000000001
10,2017.0,1.0,8.7890625,0.966796875,-4.814453125,-0.646484375,0.8910000000000001
11,2017.0,1.0,11.2109375,0.966796875,-4.814453125,-0.646484375,0.8910000000000001
12,2017.0,1.0,8.7890625,-0.927734375,-4.814453125,-0.646484375,0.8910000000000001
13,2017.0,1.0,8.7890625,0.966796875,0.458984375,-0.646484375,0.8870000000000001
14,2017.0,1.0,8.7890625,0.966796875,-4.814453125,-0.201171875,0.8910000000000001
15,2017.0,1.0,8.7890625,-0.927734375,0.458984375,-0.201171875,0.8870000000000001
16,2017.0,1.0,11.2109375,0.966796875,0.458984375,-0.201171875,0.8870000000000001
17,2017.0,1.0,11.2109375,-0.927734375,-4.814453125,-0.201171875,0.8910000000000001
18,2017.0,1.0,11.2109375,-0.927734375,0.458984375,-0.646484375,0.8870000000000001
19,2017.0,1.0,11.2109375,-0.927734375,0.458984375,-0.201171875,0.8870000000000001
20,2017.0,1.0,18.7890625,-1.533203125,2.685546875,0.853515625,0.8850000000000001
21,2017.0,1.0,1.2109375,-1.533203125,2.685546875,0.853515625,0.8850000000000001
22,2017.0,1.0,18.7890625,-3.427734375,2.685546875,0.853515625,0.8830000000000001
23,2017.0,1.0,18.7890625,-1.533203125,-2.041015625,0.853515625,0.8890000000000001
24,2017.0,1.0,18.7890625,-1.533203125,2.685546875,-0.701171875,0.8850000000000001
25,2017.0,1.0,18.7890625,-3.427734375,-2.041015625,-0.701171875,0.8870000000000001
26,2017.0,1.0,1.2109375,-1.533203125,-2.041015625,-0.701171875,0.8890000000000001
27,2017.0,1.0,1.2109375,-3.427734375,2.685546875,-0.701171875,0.8830000000000001
28,2017.0,1.0,1.2109375,-3.427734375,-2.041015625,0.853515625,0.8870000000000001
29,2017.0,1.0,1.2109375,-3.427734375,-2.041015625,-0.701171875,0.8870000000000001
30,2017.0,1.0,-1.2109375,3.466796875,-2.314453125,-0.146484375,0.8910000000000001
