,year,month,unc_h,unc_flu,unc_ta,eps
80,2017.0,1.0,12.5390625,-0.595703125,-0.400390625,0.966
81,2017.0,1.0,-11.6796875,-0.595703125,-0.400390625,0.974
82,2017.0,1.0,12.5390625,-1.259765625,-0.400390625,0.964
83,2017.0,1.0,12.5390625,-0.595703125,0.001953125,0.96
84,2017.0,1.0,12.5390625,-1.259765625,0.001953125,0.958
85,2017.0,1.0,-11.6796875,-0.595703125,0.001953125,0.97
86,2017.0,1.0,-11.6796875,-1.259765625,-0.400390625,0.974
87,2017.0,1.0,-11.6796875,-1.259765625,0.001953125,0.968
88,2017.0,1.0,-7.4609375,4.404296875,0.599609375,0.97
89,2017.0,1.0,8.3203125,4.404296875,0.599609375,0.966
90,2017.0,1.0,-7.4609375,3.740234375,0.599609375,0.97
91,2017.0,1.0,-7.4609375,4.404296875,-0.998046875,0.992
92,2017.0,1.0,-7.4609375,3.740234375,-0.998046875,0.99
93,2017.0,1.0,8.3203125,4.404296875,-0.998046875,0.986
94,2017.0,1.0,8.3203125,3.740234375,0.599609375,0.964
95,2017.0,1.0,8.3203125,3.740234375,-0.998046875,0.984
96,2017.0,1.0,-2.4609375,-1.845703125,0.349609375,0.958
97,2017.0,1.0,3.3203125,-1.845703125,0.349609375,0.956
98,2017.0,1.0,-2.4609375,4.990234375,0.349609375,0.974
99,2017.0,1.0,-2.4609375,-1.845703125,-0.248046875,0.966
100,2017.0,1.0,-2.4609375,4.990234375,-0.248046875,0.982
101,2017.0,1.0,3.3203125,-1.845703125,-0.248046875,0.964
102,2017.0,1.0,3.3203125,4.990234375,0.349609375,0.972
103,2017.0,1.0,3.3203125,4.990234375,-0.248046875,0.98
104,2017.0,1.0,17.5390625,3.154296875,-0.650390625,0.976
105,2017.0,1.0,-16.6796875,3.154296875,-0.650390625,0.988
106,2017.0,1.0,17.5390625,-0.009765625,-0.650390625,0.968
107,2017.0,1.0,17.5390625,3.154296875,0.751953125,0.958
