strt_date,LST,view_time,eps_31,eps_32,strt_date,hour,minute,Year,Month,Day,timestamp
2016-02-29,294.84000000000003,10.4,0.49,0.49,2016-02-29,10,24,2016,2,29,2016-02-29 10:24:00
2016-05-22,287.08,10.4,0.49,0.984,2016-05-22,10,24,2016,5,22,2016-05-22 10:24:00
2017-12-12,298.96,10.4,0.98,0.49,2017-12-12,10,24,2017,12,12,2017-12-12 10:24:00
2015-08-28,277.66,10.3,0.49,0.49,2015-08-28,10,18,2015,8,28,2015-08-28 10:18:00
2016-03-03,296.1,10.200000000000001,0.98,0.984,2016-03-03,10,12,2016,3,3,2016-03-03 10:12:00
2015-10-19,294.2,10.200000000000001,0.49,0.49,2015-10-19,10,12,2015,10,19,2015-10-19 10:12:00
2015-07-20,276.56,10.0,0.49,0.49,2015-07-20,10,0,2015,7,20,2015-07-20 10:00:00
2017-10-16,294.24,10.5,0.982,0.49,2017-10-16,10,30,2017,10,16,2017-10-16 10:30:00
2017-04-27,278.38,9.9,0.982,0.984,2017-04-27,9,54,2017,4,27,2017-04-27 09:54:00
2016-07-16,281.54,10.200000000000001,0.982,0.984,2016-07-16,10,12,2016,7,16,2016-07-16 10:12:00
2016-04-04,289.5,10.9,0.49,0.984,2016-04-04,10,54,2016,4,4,2016-04-04 10:54:00
2017-11-28,295.36,9.700000000000001,0.49,0.984,2017-11-28,9,42,2017,11,28,2017-11-28 09:42:00
2015-06-03,278.28000000000003,9.600000000000001,0.982,0.49,2015-06-03,9,36,2015,6,3,2015-06-03 09:36:00
2016-03-16,291.88,10.8,0.98,0.984,2016-03-16,10,48,2016,3,16,2016-03-16 10:48:00
2016-11-09,290.24,10.8,0.49,0.984,2016-11-09,10,48,2016,11,9,2016-11-09 10:48:00
2015-02-19,293.82,9.8,0.49,0.984,2015-02-19,9,48,2015,2,19,2015-02-19 09:48:00
2016-11-21,296.64,10.4,0.982,0.49,2016-11-21,10,24,2016,11,21,2016-11-21 10:24:00
2016-11-16,292.54,10.100000000000001,0.49,0.49,2016-11-16,10,6,2016,11,16,2016-11-16 10:06:00
2015-10-27,291.96,9.700000000000001,0.982,0.984,2015-10-27,9,42,2015,10,27,2015-10-27 09:42:00
2015-10-08,291.64,10.0,0.49,0.49,2015-10-08,10,0,2015,10,8,2015-10-08 10:00:00
2015-06-20,274.2,10.600000000000001,0.49,0.984,2015-06-20,10,36,2015,6,20,2015-06-20 10:36:00
2015-09-04,282.16,10.3,0.49,0.49,2015-09-04,10,18,2015,9,4,2015-09-04 10:18:00
2017-05-20,281.88,10.3,0.982,0.49,2017-05-20,10,18,2017,5,20,2017-05-20 10:18:00
2017-11-21,289.40000000000003,10.9,0.982,0.984,2017-11-21,10,54,2017,11,21,2017-11-21 10:54:00
2017-12-07,292.02,10.100000000000001,0.982,0.984,2017-12-07,10,6,2017,12,7,2017-12-07 10:06:00
2017-08-22,281.04,9.4,0.49,0.984,2017-08-22,9,24,2017,8,22,2017-08-22 09:24:00
2016-03-19,285.88,10.600000000000001,0.49,0.49,2016-03-19,10,36,2016,3,19,2016-03-19 10:36:00
2017-07-11,276.32,10.3,0.49,0.49,2017-07-11,10,18,2017,7,11,2017-07-11 10:18:00
2016-09-06,287.54,10.9,0.98,0.49,2016-09-06,10,54,2016,9,6,2016-09-06 10:54:00
2015-12-25,293.90000000000003,10.8,0.98,0.984,2015-12-25,10,48,2015,12,25,2015-12-25 10:48:00
2017-04-15,285.22,10.8,0.982,0.984,2017-04-15,10,48,2017,4,15,2017-04-15 10:48:00
2015-09-25,285.32,9.700000000000001,0.982,0.49,2015-09-25,9,42,2015,9,25,2015-09-25 09:42:00
2016-12-25,297.96,10.200000000000001,0.982,0.49,2016-12-25,10,12,2016,12,25,2016-12-25 10:12:00
2017-10-20,287.62,10.0,0.982,0.984,2017-10-20,10,0,2017,10,20,2017-10-20 10:00:00
2015-04-13,287.96,10.9,0.49,0.984,2015-04-13,10,54,2015,4,13,2015-04-13 10:54:00
2016-05-31,278.58,9.9,0.98,0.49,2016-05-31,9,54,2016,5,31,2016-05-31 09:54:00
2016-10-27,288.04,9.9,0.98,0.984,2016-10-27,9,54,2016,10,27,2016-10-27 09:54:00
2015-06-30,275.94,9.8,0.98,0.984,2015-06-30,9,48,2015,6,30,2015-06-30 09:48:00
2015-05-18,283.64,10.9,0.98,0.984,2015-05-18,10,54,2015,5,18,2015-05-18 10:54:00
2017-04-30,285.06,9.3,0.98,0.49,2017-04-30,9,18,2017,4,30,2017-04-30 09:18:00
2016-11-02,287.38,10.3,0.98,0.984,2016-11-02,10,18,2016,11,2,2016-11-02 10:18:00
2017-01-12,298.6,9.700000000000001,0.98,0.984,2017-01-12,9,42,2017,1,12,2017-01-12 09:42:00
2017-05-13,283.68,10.8,0.982,0.984,2017-05-13,10,48,2017,5,13,2017-05-13 10:48:00
2017-06-07,278.8,9.8,0.982,0.984,2017-06-07,9,48,2017,6,7,2017-06-07 09:48:00
2015-04-01,291.02,9.700000000000001,0.98,0.49,2015-04-01,9,42,2015,4,1,2015-04-01 09:42:00
2016-01-08,296.64,11.0,0.98,0.984,2016-01-08,11,0,2016,1,8,2016-01-08 11:00:00
2016-11-20,300.96,9.4,0.49,0.49,2016-11-20,9,24,2016,11,20,2016-11-20 09:24:00
2017-11-12,288.92,10.5,0.49,0.984,2017-11-12,10,30,2017,11,12,2017-11-12 10:30:00
2015-03-12,293.88,9.700000000000001,0.98,0.49,2015-03-12,9,42,2015,3,12,2015-03-12 09:42:00
2016-08-03,277.48,10.4,0.98,0.984,2016-08-03,10,24,2016,8,3,2016-08-03 10:24:00
2016-09-11,282.84000000000003,10.200000000000001,0.98,0.49,2016-09-11,10,12,2016,9,11,2016-09-11 10:12:00
2016-01-19,295.86,10.8,0.982,0.49,2016-01-19,10,48,2016,1,19,2016-01-19 10:48:00
2015-10-10,294.96,10.8,0.49,0.984,2015-10-10,10,48,2015,10,10,2015-10-10 10:48:00
2017-02-08,296.1,9.4,0.49,0.984,2017-02-08,9,24,2017,2,8,2017-02-08 09:24:00
2015-10-11,290.52,11.0,0.49,0.984,2015-10-11,11,0,2015,10,11,2015-10-11 11:00:00
2017-02-13,288.40000000000003,10.8,0.49,0.984,2017-02-13,10,48,2017,2,13,2017-02-13 10:48:00
2017-10-18,294.76,9.700000000000001,0.982,0.984,2017-10-18,9,42,2017,10,18,2017-10-18 09:42:00
2016-03-12,294.26,10.100000000000001,0.49,0.984,2016-03-12,10,6,2016,3,12,2016-03-12 10:06:00
2017-05-06,279.18,10.0,0.98,0.984,2017-05-06,10,0,2017,5,6,2017-05-06 10:00:00
2015-04-20,280.54,10.5,0.98,0.49,2015-04-20,10,30,2015,4,20,2015-04-20 10:30:00
2015-12-16,294.96,10.5,0.49,0.49,2015-12-16,10,30,2015,12,16,2015-12-16 10:30:00
2016-04-08,286.42,9.4,0.98,0.984,2016-04-08,9,24,2016,4,8,2016-04-08 09:24:00
2015-02-24,294.7,10.3,0.98,0.984,2015-02-24,10,18,2015,2,24,2015-02-24 10:18:00
2017-09-29,283.58,10.5,0.98,0.984,2017-09-29,10,30,2017,9,29,2017-09-29 10:30:00
2017-12-16,297.6,10.5,0.98,0.984,2017-12-16,10,30,2017,12,16,2017-12-16 10:30:00
2015-10-03,294.66,10.3,0.982,0.984,2015-10-03,10,18,2015,10,3,2015-10-03 10:18:00
2015-09-18,285.36,10.5,0.49,0.984,2015-09-18,10,30,2015,9,18,2015-09-18 10:30:00
2016-05-15,282.90000000000003,9.8,0.98,0.984,2016-05-15,9,48,2016,5,15,2016-05-15 09:48:00
2015-01-03,297.54,10.100000000000001,0.982,0.49,2015-01-03,10,6,2015,1,3,2015-01-03 10:06:00
2017-02-24,296.66,10.4,0.49,0.49,2017-02-24,10,24,2017,2,24,2017-02-24 10:24:00
2017-01-01,294.88,9.700000000000001,0.98,0.49,2017-01-01,9,42,2017,1,1,2017-01-01 09:42:00
2016-02-04,292.06,10.9,0.982,0.49,2016-02-04,10,54,2016,2,4,2016-02-04 10:54:00
2015-09-11,281.40000000000003,10.600000000000001,0.982,0.49,2015-09-11,10,36,2015,9,11,2015-09-11 10:36:00
2016-01-12,300.72,10.8,0.982,0.984,2016-01-12,10,48,2016,1,12,2016-01-12 10:48:00
2017-03-31,285.88,9.5,0.98,0.984,2017-03-31,9,30,2017,3,31,2017-03-31 09:30:00
2016-11-28,291.46,9.9,0.49,0.984,2016-11-28,9,54,2016,11,28,2016-11-28 09:54:00
2017-06-23,277.94,9.8,0.982,0.984,2017-06-23,9,48,2017,6,23,2017-06-23 09:48:00
2017-08-13,281.36,9.8,0.982,0.984,2017-08-13,9,48,2017,8,13,2017-08-13 09:48:00
2015-10-20,293.02,9.700000000000001,0.982,0.984,2015-10-20,9,42,2015,10,20,2015-10-20 09:42:00
2016-11-27,296.36,10.3,0.98,0.49,2016-11-27,10,18,2016,11,27,2016-11-27 10:18:00
2016-11-18,296.82,10.100000000000001,0.98,0.984,2016-11-18,10,6,2016,11,18,2016-11-18 10:06:00
2015-03-30,289.88,10.100000000000001,0.98,0.49,2015-03-30,10,6,2015,3,30,2015-03-30 10:06:00
2015-07-18,276.0,9.9,0.98,0.984,2015-07-18,9,54,2015,7,18,2015-07-18 09:54:00
2016-05-14,283.84000000000003,10.4,0.49,0.49,2016-05-14,10,24,2016,5,14,2016-05-14 10:24:00
2016-02-08,297.96,10.200000000000001,0.982,0.49,2016-02-08,10,12,2016,2,8,2016-02-08 10:12:00
2016-06-25,271.96,10.700000000000001,0.49,0.984,2016-06-25,10,42,2016,6,25,2016-06-25 10:42:00
2016-03-23,289.84000000000003,10.600000000000001,0.49,0.984,2016-03-23,10,36,2016,3,23,2016-03-23 10:36:00
2016-04-22,285.42,9.700000000000001,0.49,0.984,2016-04-22,9,42,2016,4,22,2016-04-22 09:42:00
2016-08-26,277.72,9.9,0.98,0.982,2016-08-26,9,54,2016,8,26,2016-08-26 09:54:00
2016-10-20,281.88,10.100000000000001,0.98,0.984,2016-10-20,10,6,2016,10,20,2016-10-20 10:06:00
2017-09-30,284.6,10.5,0.49,0.49,2017-09-30,10,30,2017,9,30,2017-09-30 10:30:00
2017-08-24,279.74,10.8,0.49,0.984,2017-08-24,10,48,2017,8,24,2017-08-24 10:48:00
2016-04-10,284.72,10.200000000000001,0.98,0.984,2016-04-10,10,12,2016,4,10,2016-04-10 10:12:00
2015-04-10,286.82,10.100000000000001,0.49,0.984,2015-04-10,10,6,2015,4,10,2015-04-10 10:06:00
