start_date,fpar,fpar_qc,fpar_lai_qc,fpar_stdev,lai500,lai_stdev,start_date,Year,Month,Day,timestamp
2016-04-22,0.89,0.0,32.0,0.0,0.0,0.0,2016-04-22,2016,4,22,2016-04-22
2016-04-30,0.89,0.0,32.0,0.0,0.0,0.0,2016-04-30,2016,4,30,2016-04-30
2016-05-08,0.9,0.0,0.0,248.0,2.48,248.0,2016-05-08,2016,5,8,2016-05-08
2016-05-16,0.8300000000000001,8.0,0.0,8.0,0.08,8.0,2016-05-16,2016,5,16,2016-05-16
2016-05-24,0.89,0.0,32.0,3.0,0.03,3.0,2016-05-24,2016,5,24,2016-05-24
2016-06-01,0.88,0.0,32.0,3.0,0.03,3.0,2016-06-01,2016,6,1,2016-06-01
2016-06-09,0.91,0.0,0.0,7.0,0.07,7.0,2016-06-09,2016,6,9,2016-06-09
2016-06-17,0.03,8.0,32.0,0.0,0.0,0.0,2016-06-17,2016,6,17,2016-06-17
2016-06-25,0.89,32.0,97.0,0.0,0.0,0.0,2016-06-25,2016,6,25,2016-06-25
2016-07-03,0.19,0.0,32.0,6.0,0.06,6.0,2016-07-03,2016,7,3,2016-07-03
2016-07-11,0.89,32.0,0.0,0.0,0.0,0.0,2016-07-11,2016,7,11,2016-07-11
2016-07-19,0.26,32.0,32.0,5.0,0.05,5.0,2016-07-19,2016,7,19,2016-07-19
2016-07-27,0.89,8.0,0.0,0.0,0.0,0.0,2016-07-27,2016,7,27,2016-07-27
2016-08-04,0.9,0.0,97.0,0.0,0.0,0.0,2016-08-04,2016,8,4,2016-08-04
2016-08-12,0.78,8.0,97.0,2.0,0.02,2.0,2016-08-12,2016,8,12,2016-08-12
2016-08-20,0.84,0.0,0.0,248.0,2.48,248.0,2016-08-20,2016,8,20,2016-08-20
2016-08-28,0.9,0.0,0.0,0.0,0.0,0.0,2016-08-28,2016,8,28,2016-08-28
2016-09-05,0.84,8.0,0.0,8.0,0.08,8.0,2016-09-05,2016,9,5,2016-09-05
2016-09-13,0.07,8.0,0.0,248.0,2.48,248.0,2016-09-13,2016,9,13,2016-09-13
2016-09-21,0.8300000000000001,32.0,0.0,0.0,0.0,0.0,2016-09-21,2016,9,21,2016-09-21
2016-09-29,0.81,0.0,0.0,3.0,0.03,3.0,2016-09-29,2016,9,29,2016-09-29
2016-10-07,0.84,0.0,32.0,1.0,0.01,1.0,2016-10-07,2016,10,7,2016-10-07
2016-10-15,0.68,0.0,32.0,248.0,2.48,248.0,2016-10-15,2016,10,15,2016-10-15
2016-10-31,0.76,8.0,105.0,248.0,2.48,248.0,2016-10-31,2016,10,31,2016-10-31
